Hora:	Presión [mmHg]:	Temperatura [°C]:	Kilogramos de gas:
10:41	0	19,33232	5,175781
10:41	300	19,17679	4,904514
10:42	350	19,20573	5,230035
10:50	0	19,53125	4,937066
10:50	350	19,62891	4,774306
10:50	350	19,44083	5,013021
10:51	340	19,53125	4,991319
10:51	700	19,62167	5,099826
10:51	700	19,61082	5,175781
10:52	700	19,44806	4,937066
10:52	695	19,62891	4,85026
10:52	695	19,53848	4,958767
10:53	695	19,62891	5,013021
10:53	450	19,66508	4,958767
10:54	150	19,65784	4,991319
10:55	150	19,7555	4,958767
10:56	150	19,84954	4,937066
17:6	1,790523	22,17882	37,5217
17:6	1,519239	22,16073	37,73872
17:7	1,519239	22,17159	37,39149
17:8	1,681974	22,16073	37,60851
17:9	554,5706	22,05223	37,73872
17:9	547,6799	21,88585	37,5
17:9	1,790523	21,875	37,73872
17:9	1,681974	22,05223	37,73872
17:10	1,519239	21,79543	37,63021
17:11	1,953257	21,53139	37,60851
17:19	1,681974	21,32523	37,82552
17:19	1,41069	21,18779	38,11849
17:20	1,519239	21,18779	37,79297
17:21	1,519239	20,98163	37,77127
17:22	1,519239	20,98163	37,90148
17:23	1,519239	21,07928	37,5
17:24	1,519239	21,07205	37,68446
17:25	1,519239	21,07205	37,82552
17:26	1,519239	20,97078	37,84722
17:27	1,519239	21,07928	37,57595
17:28	1,519239	21,09013	38,15104
17:29	1,519239	21,11545	37,57595
17:30	1,519239	21,19864	37,60851
17:31	1,519239	21,11545	37,79297
17:32	1,519239	21,07928	37,79297
17:33	1,519239	21,07205	37,73872
17:34	1,519239	21,07205	37,82552
17:35	1,519239	21,07205	37,79297
17:36	1,519239	20,98886	37,73872
17:37	1,519239	21,00694	37,95573
17:38	1,519239	21,1263	37,77127
17:39	1,519239	21,32523	37,73872
17:40	1,519239	21,27098	37,73872
17:41	1,519239	21,07205	37,98828
17:42	1,519239	21,09737	37,68446
17:43	1,519239	21,07928	38,00998
17:44	1,519239	21,0612	37,71701
17:45	1,519239	21,0612	37,57595
17:45	1,519239	21,11545	37,60851
17:46	1,519239	21,20587	37,82552
17:47	1,519239	21,27098	37,77127
17:48	1,519239	21,33246	37,77127
17:49	1,519239	21,41565	37,84722
17:50	1,519239	21,41565	37,46745
17:51	1,519239	21,4048	37,95573
17:52	1,519239	21,44097	37,46745
17:53	555	21,45906	37,66276
17:53	555	21,44097	37,68446
17:53	550	21,44097	37,68446
17:54	550	21,44097	37,84722
17:56	2	21,43374	37,4132
17:56	555	21,39757	37,79297
17:56	550	21,43374	37,71701
17:56	550	21,43374	37,82552
17:57	550	21,45182	37,77127
17:57	550	21,41565	37,79297
17:57	2	21,39757	38,17274
17:58	2	21,4048	37,44575
17:58	2	21,44097	37,66276
17:59	2	21,45906	38,00998
17:59	555	21,45182	37,57595
17:59	550	21,45182	37,39149
17:59	800	21,44097	37,63021
17:59	800	21,44097	37,87977
18:0	800	21,45182	37,87977
18:0	2	21,42289	38,04253
18:0	2	21,45182	37,79297
18:1	2	21,44097	37,82552
18:1	555	21,45182	37,66276
18:1	550	21,42289	37,79297
18:1	800	21,44097	37,93402
18:1	800	21,45182	37,90148
18:2	800	21,44097	37,84722
18:2	800	21,43374	38,11849
18:3	800	21,43374	38,09679
18:3	2	21,39757	38,22699
18:3	2	21,43374	37,84722
