Hora:	Presión [mmHg]:	Temperatura [°C]:	Kilogramos de gas:
20:45	1,247956	61,40046	250
20:46	131,1957	61,4077	250
20:47	244,4864	61,41854	250
20:48	320,339	61,29919	250
20:48	294,5664	61,47281	250
20:48	294,5664	61,47281	250
20:49	286,0479	61,49089	250
20:50	287,3502	61,38238	250
20:51	288,164	61,47281	250
20:52	288,2183	61,49089	250
20:53	288,3268	61,44387	250
20:53	288,3268	61,44387	250
20:54	364,7762	61,27387	250
20:55	426,8474	61,49089	250
20:56	474,9742	61,41854	250
20:57	512,792	61,46195	250
20:57	520,0082	61,48003	250
20:58	518,0007	61,48003	250
20:59	517,1326	61,46195	250
21:0	516,8613	61,48003	250
21:1	516,6443	61,47281	250
21:2	516,2102	61,35345	250
21:3	516,1017	61,41854	250
21:4	515,9389	61,32813	250
21:5	515,8304	61,33536	250
21:6	516,0475	61,29196	250
21:7	515,9389	61,29196	250
21:8	515,7762	61,34621	250
21:8	505,9012	60,26114	250
21:9	412,9573	51,0055	250
21:10	326,036	48,64005	250
21:11	250,8888	47,80093	250
21:11	247,362	47,7105	250
21:12	206,7771	49,66724	250
21:13	209,8698	53,125	250
21:14	211,9316	55,36386	250
21:15	213,7221	56,60807	250
21:16	215,0243	56,71658	250
21:17	216,1637	57,86313	250
21:18	217,3574	58,0042	250
21:19	218,0085	57,90654	250
21:20	218,8766	58,7746	250
21:21	219,0936	59,04586	250
21:22	220,0703	58,97353	250
21:23	220,3958	58,90842	250
21:24	220,9926	59,13628	250
21:25	221,5352	58,97353	250
21:26	222,0778	58,97353	250
21:27	222,2949	58,93735	250
21:28	222,8374	59,07118	250
21:29	223,2172	58,99884	250
21:30	223,2172	59,06395	250
21:31	223,3258	58,8831	250
21:32	223,7598	58,86502	250
21:33	224,1939	58,85417	250
21:34	224,1396	58,82885	250
21:35	224,4652	58,84693	250
21:36	224,7907	58,83609	250
21:37	225,0078	58,90118	250
21:38	225,3875	58,87225	250
21:39	225,279	58,83609	250
21:40	225,4961	58,87225	250
21:41	225,8216	58,85417	250
21:42	226,0929	58,70949	250
21:43	226,0929	58,50333	250
21:44	226,0929	58,15972	250
21:45	226,0929	57,84505	250
21:46	226,2014	57,71846	250
21:47	226,4184	57,70038	250
21:48	226,8525	57,7908	250
21:49	226,9068	57,92462	250
21:50	227,1781	57,87399	250
21:51	227,2323	57,87399	250
21:52	227,2323	57,8559	250
21:53	227,2866	57,93186	250
21:54	227,3951	57,87399	250
21:55	227,3951	57,87761	250
21:56	227,6664	57,87761	250
21:57	228,1005	57,87399	250
21:58	228,0462	57,88845	250
21:59	228,2632	57,69314	250
22:0	228,209	57,60995	250
22:1	228,3175	57,58464	250
22:2	228,2632	57,71846	250
22:3	228,2632	57,63889	250
22:4	228,3717	57,62804	250
22:5	228,3717	57,62804	250
22:6	228,5345	57,51953	250
22:7	228,8601	57,53038	250
22:8	229,0771	57,22295	250
22:9	228,9143	56,94083	250
22:10	229,0771	56,83232	250
22:11	229,1856	56,60807	250
22:12	229,0229	56,57914	250
22:13	229,1856	56,47063	250
22:14	229,3484	56,51765	250
22:15	229,1856	56,59722	250
22:16	229,3484	56,45255	250
22:17	229,5654	56,48872	250
22:18	229,4569	56,59722	250
22:19	229,7282	56,62616	250
22:20	229,6739	56,6153	250
22:21	229,6197	56,58999	250
22:22	229,9452	56,59722	250
22:23	230,1623	56,63339	250
22:24	229,9995	56,5068	250
22:25	229,9995	56,48872	250
22:26	230,108	56,44531	250
22:27	230,2165	56,64424	250
22:28	230,108	56,41637	250
22:29	230,108	56,41637	250
22:30	230,4878	56,49957	250
22:31	230,6506	56,49957	250
22:32	230,2708	56,39106	250
22:33	230,2708	56,33681	250
22:34	230,4335	56,31872	250
22:35	230,4878	56,5068	250
22:36	230,5421	56,41637	250
22:37	230,4335	56,34404	250
22:38	230,4878	56,28255	250
22:39	230,4335	56,2717	250
22:40	230,5421	56,2717	250
22:41	230,7591	56,01852	250
22:42	230,8133	55,79427	250
22:43	231,0304	55,67491	250
22:44	230,9761	55,42896	250
22:45	231,0304	55,34577	250
22:46	231,2474	55,24812	250
22:47	230,9761	55,23003	250
22:48	231,3017	55,41088	250
22:49	231,2474	55,45428	250
22:50	231,1932	55,37471	250
22:51	231,2474	55,41088	250
22:52	231,0304	55,40003	250
22:53	231,3017	55,3928	250
22:54	231,3559	55,32046	250
22:55	231,3559	55,40003	250
22:56	231,2474	55,33854	250
22:57	231,3559	55,19387	250
22:58	231,5187	55,32046	250
22:59	231,5187	55,32769	250
23:0	231,6272	55,3096	250
23:1	231,7357	55,3928	250
23:2	231,79	55,14684	250
23:3	231,6272	55,34577	250
23:4	232,0613	55,13961	250
23:5	231,8985	55,21195	250
23:6	232,1156	55,23003	250
23:7	232,1156	55,21918	250
23:8	232,3326	55,11068	250
23:9	232,0613	55,17578	250
23:10	232,2783	55,13961	250
23:11	232,3326	55,23003	250
23:12	232,3868	55,13961	250
23:13	232,3326	55,14684	250
23:14	232,3326	55,13961	250
23:15	232,3868	55,23727	250
23:16	232,4411	55,13961	250
23:17	232,4411	55,14684	250
23:18	232,3868	55,25535	250
23:19	232,2783	55,11068	250
23:20	232,6039	55,09259	250
23:21	232,3868	55,09259	250
23:22	232,3868	55,10345	250
23:23	232,8751	55,01302	250
23:24	232,8209	54,966	250
23:25	232,7124	55,05642	250
23:26	232,8209	54,90451	250
23:27	233,0922	54,83941	250
23:28	233,1465	54,78516	250
23:29	233,1465	54,66941	250
23:30	233,1465	54,47772	250
23:31	233,1465	54,36198	250
23:32	233,1465	54,27155	250
23:33	233,2007	54,11603	250
23:34	233,2007	54,01837	250
23:35	233,2007	54,03646	250
23:36	233,472	53,94604	250
23:37	233,472	54,01837	250
23:38	233,2007	54,03646	250
23:39	233,255	53,90987	250
23:40	233,255	54,05454	250
23:41	233,2007	54,1088	250
23:42	233,4178	54,07986	250
23:43	233,4178	53,97136	250
23:44	233,3635	54,01837	250
23:45	233,4178	54,09071	250
23:46	233,255	54,11603	250
23:47	233,5263	54,09795	250
23:48	233,5263	54,07986	250
23:49	233,689	54,01837	250
23:50	233,472	53,96412	250
23:51	233,6348	54,11603	250
23:52	233,6348	53,9822	250
23:53	233,472	53,9822	250
23:54	233,6348	54,04369	250
